1647314881.496586, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314882.045731, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314882.5986052, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314883.142277, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314883.752293, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314884.160692, [138, 157, 255, 255, 255, 255, 154, 135, 101, 119]
1647314884.458356, [124, 150, 175, 255, 255, 147, 140, 116, 92, 100]
1647314884.776227, [110, 131, 149, 155, 170, 128, 118, 99, 83, 89]
1647314884.906574, [101, 119, 135, 152, 142, 108, 101, 89, 76, 80]
1647314885.0701141, [95, 107, 117, 132, 128, 98, 94, 82, 73, 76]
1647314885.2261708, [90, 95, 102, 111, 118, 92, 89, 81, 72, 74]
1647314885.3697631, [87, 88, 92, 98, 109, 90, 85, 78, 73, 73]
1647314885.515733, [85, 84, 87, 91, 101, 86, 82, 76, 70, 73]
1647314885.654711, [86, 83, 83, 87, 97, 82, 79, 74, 71, 74]
1647314885.79813, [85, 82, 82, 84, 94, 81, 77, 75, 71, 75]
1647314885.937835, [86, 81, 81, 81, 89, 78, 76, 75, 72, 76]
1647314886.079031, [88, 80, 78, 77, 87, 76, 76, 76, 75, 78]
1647314886.2241778, [89, 81, 76, 75, 84, 75, 77, 77, 77, 80]
1647314886.3647308, [92, 83, 76, 74, 81, 76, 76, 75, 79, 82]
1647314886.518506, [94, 83, 75, 72, 79, 73, 78, 79, 98, 85]
1647314887.1316009, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314887.643564, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314888.259552, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314888.770008, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
