1647314871.361939, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314871.888892, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314872.488139, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314872.98523, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
1647314873.3072672, [255, 255, 113, 99, 98, 69, 61, 59, 62, 255]
1647314873.438503, [126, 121, 98, 90, 92, 75, 76, 72, 76, 66]
1647314873.582284, [112, 106, 89, 84, 88, 78, 80, 79, 83, 81]
1647314873.727136, [105, 99, 86, 82, 88, 81, 85, 83, 87, 89]
1647314873.869793, [100, 95, 83, 81, 87, 82, 86, 85, 89, 93]
1647314874.0160398, [96, 93, 83, 82, 87, 82, 87, 87, 89, 96]
1647314874.151778, [93, 92, 83, 82, 89, 83, 88, 86, 88, 96]
1647314874.29421, [92, 88, 84, 84, 92, 83, 88, 85, 88, 96]
1647314874.444691, [90, 88, 87, 85, 96, 84, 89, 86, 87, 92]
1647314874.5881221, [90, 87, 89, 90, 98, 86, 90, 87, 87, 91]
1647314874.746769, [90, 88, 92, 96, 101, 88, 92, 89, 88, 89]
1647314874.907168, [90, 91, 93, 100, 108, 92, 95, 91, 87, 89]
1647314875.0778072, [91, 94, 97, 107, 117, 95, 98, 93, 88, 89]
1647314875.271852, [93, 99, 105, 120, 124, 102, 101, 95, 90, 88]
1647314875.4908118, [94, 102, 109, 132, 147, 109, 105, 99, 93, 89]
1647314875.779082, [98, 107, 126, 149, 255, 122, 116, 108, 97, 90]
1647314876.174606, [103, 115, 149, 255, 255, 255, 255, 144, 111, 93]
1647314876.674561, [105, 123, 163, 255, 255, 255, 255, 255, 255, 98]
1647314877.096195, [115, 137, 172, 255, 255, 255, 255, 255, 255, 124]
1647314877.710613, [133, 149, 255, 255, 255, 255, 255, 255, 255, 255]
1647314878.222579, [255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
